loc_id,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalprecipMM,totalprecipIn,windspeedMiles,windspeedKmph,sunhour,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,sunrise,sunset,moonrise,moonset
1,2019-07-01,20,69,15,59,19,66,0.10,0.00,11,17,6.9,295,WNW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,61,10,6,1019,31,51,18,64,10,50,18,64,13,20,18,64,03:48 AM,08:21 PM,02:40 AM,07:04 PM
1,2019-07-02,22,71,17,62,20,68,0.10,0.00,7,11,6.9,5,N,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,55,10,6,1024,31,29,20,68,10,49,19,66,8,13,19,66,03:48 AM,08:20 PM,03:25 AM,08:10 PM
1,2019-07-03,22,72,16,61,20,69,0.10,0.00,6,9,8.7,54,NE,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,57,10,6,1026,31,25,19,67,10,50,19,66,7,11,19,66,03:49 AM,08:20 PM,04:23 AM,09:07 PM
1,2019-07-04,27,81,17,62,23,74,0.00,0.00,4,7,8.7,220,SW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,51,10,6,1025,31,28,22,72,10,50,21,71,5,8,22,72,03:50 AM,08:20 PM,05:33 AM,09:52 PM
1,2019-07-05,28,82,19,65,25,76,0.00,0.00,6,9,8.7,302,WNW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,52,10,6,1019,31,21,23,74,12,54,23,74,7,11,23,74,03:50 AM,08:19 PM,06:52 AM,10:28 PM
1,2019-07-06,24,75,18,64,21,70,0.60,0.02,6,10,5.1,178,S,266,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,66,8,4,1014,30,59,22,71,14,57,21,69,7,11,21,69,03:51 AM,08:19 PM,08:14 AM,10:57 PM
1,2019-07-07,20,67,16,60,18,64,3.30,0.13,6,10,3.3,104,ESE,266,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,66,6,3,1017,30,97,17,63,11,51,17,63,7,12,17,63,03:52 AM,08:18 PM,09:37 AM,11:21 PM
1,2019-07-08,23,73,16,60,20,67,1.30,0.05,4,6,3.3,131,SE,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,55,10,6,1021,31,83,19,66,9,48,18,65,5,7,18,65,03:53 AM,08:17 PM,10:58 AM,11:43 PM
1,2019-07-09,21,70,14,58,18,65,0.20,0.01,6,10,5.1,221,SW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,64,10,6,1021,31,87,18,65,11,52,17,63,8,13,17,63,03:54 AM,08:17 PM,12:17 PM,No moonset
1,2019-07-10,24,76,18,64,22,72,0.30,0.01,7,12,3.3,234,SW,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,64,10,6,1018,31,74,22,71,14,56,21,70,9,15,22,71,03:55 AM,08:16 PM,01:35 PM,12:04 AM
1,2019-07-11,25,77,18,65,23,73,0.80,0.03,7,12,5.1,275,W,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,58,10,6,1013,30,60,22,72,12,54,21,71,9,14,22,72,03:56 AM,08:15 PM,02:50 PM,12:26 AM
1,2019-07-12,24,76,19,65,22,72,2.10,0.08,9,15,6.9,326,NNW,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,62,10,5,1014,30,68,21,71,13,55,21,70,11,18,21,71,03:57 AM,08:14 PM,04:05 PM,12:51 AM
1,2019-07-13,24,75,17,62,21,70,1.20,0.05,6,10,3.3,179,S,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,65,10,6,1021,31,54,21,70,13,56,20,68,8,12,20,68,03:58 AM,08:13 PM,05:16 PM,01:19 AM
1,2019-07-14,22,71,16,60,19,67,0.80,0.03,8,12,5.1,28,NNE,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,64,10,6,1023,31,53,19,66,11,52,18,65,9,15,18,65,03:59 AM,08:13 PM,06:21 PM,01:53 AM
1,2019-07-15,25,76,14,57,19,67,0.00,0.00,6,10,6.9,33,NNE,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,62,10,6,1022,31,34,19,67,11,51,18,65,7,12,18,65,04:00 AM,08:12 PM,07:19 PM,02:34 AM
1,2019-07-16,29,84,16,61,24,76,0.10,0.00,4,7,8.7,204,SSW,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,54,10,6,1019,31,29,22,72,12,53,22,72,5,8,22,72,04:02 AM,08:11 PM,08:07 PM,03:24 AM
1,2019-07-17,25,77,19,66,23,73,0.00,0.00,6,10,8.7,205,SSW,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,54,10,6,1015,30,37,22,72,11,53,22,71,7,11,22,72,04:03 AM,08:10 PM,08:46 PM,04:20 AM
1,2019-07-18,24,75,17,63,21,70,0.50,0.02,9,14,5.1,269,W,266,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,64,9,5,1010,30,73,21,69,13,55,20,68,10,16,20,68,04:04 AM,08:08 PM,09:18 PM,05:22 AM
1,2019-07-19,19,66,12,53,17,63,4.80,0.19,10,15,3.3,206,SSW,302,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,73,8,4,1012,30,78,18,64,13,56,17,62,12,20,17,62,04:05 AM,08:07 PM,09:44 PM,06:27 AM
1,2019-07-20,23,73,18,64,21,69,27.90,1.10,12,19,3.3,249,WSW,356,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate or heavy rain shower,70,8,5,1009,30,89,20,69,14,57,20,68,16,25,20,68,04:07 AM,08:06 PM,10:05 PM,07:33 AM
1,2019-07-21,23,73,16,61,21,69,0.00,0.00,8,14,6.9,233,SW,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,64,10,6,1020,31,39,20,69,12,54,19,67,10,16,19,67,04:08 AM,08:05 PM,10:24 PM,08:38 AM
1,2019-07-22,27,81,17,63,24,75,0.00,0.00,10,15,6.9,226,SW,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,67,10,6,1022,31,34,23,74,16,60,22,72,12,19,23,74,04:09 AM,08:04 PM,10:42 PM,09:44 AM
1,2019-07-23,32,90,21,70,28,83,0.00,0.00,7,11,8.7,138,SE,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,56,10,6,1018,31,6,27,81,16,61,27,80,8,13,27,81,04:10 AM,08:02 PM,11:00 PM,10:50 AM
1,2019-07-24,30,86,23,73,27,81,8.90,0.35,9,14,6.9,237,WSW,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,51,9,5,1012,30,45,27,81,15,60,27,80,12,19,27,81,04:12 AM,08:01 PM,11:19 PM,11:57 AM
1,2019-07-25,35,95,24,76,32,89,0.40,0.02,8,12,8.7,153,SSE,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,45,10,6,1011,30,17,31,88,16,60,30,85,10,15,31,88,04:13 AM,08:00 PM,11:39 PM,01:05 PM
1,2019-07-26,27,81,22,72,26,78,3.30,0.13,7,12,8.7,265,W,119,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,54,10,6,1010,30,57,26,79,15,59,25,77,9,14,26,79,04:15 AM,07:58 PM,No moonrise,02:16 PM
1,2019-07-27,20,67,13,55,18,65,15.20,0.60,8,12,3.3,333,NNW,302,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,72,9,5,1007,30,81,19,66,14,57,18,64,9,15,18,64,04:16 AM,07:57 PM,12:04 AM,03:28 PM
1,2019-07-28,21,70,16,60,19,66,0.00,0.00,11,18,5.1,290,WNW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,66,10,6,1006,30,66,18,65,12,53,18,65,13,21,18,65,04:17 AM,07:55 PM,12:34 AM,04:41 PM
1,2019-07-29,25,76,17,62,22,72,0.00,0.00,8,13,8.7,184,S,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,55,10,6,1009,30,21,22,72,11,52,21,70,10,16,22,72,04:19 AM,07:54 PM,01:14 AM,05:50 PM
1,2019-07-30,20,68,11,53,19,65,4.90,0.19,16,25,3.3,186,S,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,68,10,6,1005,30,76,19,66,13,56,18,64,22,35,18,64,04:20 AM,07:52 PM,02:04 AM,06:52 PM
1,2019-07-31,22,71,17,62,20,67,2.30,0.09,13,21,5.1,252,WSW,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,63,10,6,1012,30,76,20,67,11,52,19,66,16,26,19,66,04:22 AM,07:51 PM,03:09 AM,07:43 PM
